Type,Country,Activity,Sex,Age,Fatal,Species
Unprovoked,USA,Surfing,M,19,N,unknown
Unprovoked,USA,Wading,F,20s,N,sandtiger shark
Invalid,USA,Playing in the surf,M,7,N,unknown
Unprovoked,USA,Playing in the surf,F,10,N,bull shark
Unprovoked,USA,Scuba diving,M,28,N,blacktip shark
Unprovoked,USA,Spearfishing,M,28,N,sevengill shark
Unprovoked,USA,Wading,M,19,N,unknown
Unprovoked,USA,Spearfishing,M,32,N,bull shark
Unprovoked,USA,Surfing,M,49,N,unknown
Unprovoked,USA,Body boarding,M,16,N,unknown
Unprovoked,USA,Scuba diving,M,30,N,porbeagle shark
Unprovoked,USA,Body boarding,M,19,N,white shark
Unprovoked,USA,Surfing,M,29,N,white shark
Unprovoked,USA,Swimming,M,27,N,unknown
Boating,USA,Kayak Fishing,M,45,N,white shark
Unprovoked,USA,Standing,F,37,N,unknown
Unprovoked,USA,Standing,M,16,N,unknown
Unprovoked,USA,Swimming,M,10,N,blacktip shark
Unprovoked,USA,Swimming,F,13,N,sandtiger shark
Unprovoked,USA,Surfing,M,55,N,spinner shark
Provoked,USA,Fishing,M,20,N,blue shark
Unprovoked,USA,Surfing,M,19,N,unknown
Unprovoked,USA,Stand-Up Paddleboarding,M,48,N,unknown
Unprovoked,USA,Surfing,M,20,N,bull shark
Unprovoked,USA,Boogie Boarding,F,18,N,unknown
Provoked,USA,Fishing,M,49,N,lemon shark
Unprovoked,USA,Wading,F,10,N,unknown
Provoked,USA,Measuring sharks,M,29,N,lemon shark
Unprovoked,USA,Surfing,M,68,N,unknown
Provoked,USA,Diving,M,58,N,sandtiger shark
Unprovoked,USA,Wading,M,10,N,unknown
Unprovoked,USA,Fishing,M,31,N,thresher shark
Unprovoked,USA,Surfing,M,18,N,unknown
Unprovoked,USA,Surfing,M,54,N,unknown
Invalid,USA,Swimming,M,60,N,unknown
Unprovoked,USA,Swimming,F,22,N,white shark
Unprovoked,USA,Wade Fishing,M,56,N,bull shark
Provoked,USA,Swimming,F,43,N,nurse shark
Unprovoked,USA,Surfing,M,31,N,spinner shark
Unprovoked,USA,Surfing,M,49,N,spinner shark
Unprovoked,USA,Surfing,M,55,N,spinner shark
Unprovoked,USA,Surfing,M,31,N,unknown
Unprovoked,USA,Surfing,F,17,N,unknown
Unprovoked,USA,Swimming,M,61,N,cutter shark
Unprovoked,USA,Surfing,M,40,N,unknown
Unprovoked,USA,Swimming,M,32,N,juvenile shark
Unprovoked,USA,Surfing,M,40,N,tiger shark
Unprovoked,USA,Surfing,M,52,N,unknown
Unprovoked,USA,Surfing,M,26,N,unknown
Unprovoked,USA,Treading water,F,38,N,bull shark
Unprovoked,USA,Wading,M,9,N,unknown
Unprovoked,USA,Wading,F,8,N,unknown
Unprovoked,USA,Wading,M,16,N,unknown
Unprovoked,USA,Swimming,M,37,N,unknown
Boating,USA,Kayaking,F,40,N,white shark
Unprovoked,USA,Body surfing,F,15,N,unknown
Unprovoked,USA,Surfing,M,18,N,unknown
Unprovoked,USA,Swimming,M,66,N,white shark
Unprovoked,USA,Surfing,M,30,N,unknown
Unprovoked,USA,Wading,M,15,N,unknown
Unprovoked,USA,Surfing,M,52,N,unknown
Unprovoked,USA,Walking out of the water after surfing,M,13,N,unknown
Unprovoked,USA,Jet skiing,M,8,N,unknown
Unprovoked,USA,Surfing,M,27,N,white shark
Unprovoked,USA,Surfing,M,20,N,unknown
Unprovoked,USA,Surfing,M,52,N,tiger shark
Unprovoked,USA,Surfing,M,21,N,unknown
